Initial state Z
x,p,p_error,p_x,p_x_error,p_y,p_y_error,p_z,p_z_error,R_x,R_x_error,R_y,R_y_error,R_z,R_z_error,
0.0,0.8927972222,0.0141821405,-0.1544,0.024618563,0.0320083333,0.0222629784,0.8664611111,0.014868125,-0.1350666667,0.0289854455,0.0257333333,0.054201435,0.9044,0.0144870483,
0.08106488148695842,0.8237416667,0.0180785945,-0.2128277778,0.0243008846,0.0384,0.0209293388,0.7652722222,0.0182834329,-0.1725777778,0.0318936814,0.0396666667,0.0603867167,0.7715777778,0.0191763615,
0.16212976297391685,0.7605805556,0.018733474,-0.2956194444,0.025088973,0.0009833333,0.0225263364,0.6479277778,0.023779641,-0.2313333333,0.0332168335,0.01,0.0539670681,0.6582444444,0.0240026645,
0.24319464446087524,0.7153416667,0.0237358098,-0.3217888889,0.0246888451,0.0547583333,0.0216933474,0.5522972222,0.0200341474,-0.2012222222,0.0293827446,0.0556,0.0508174948,0.5993555556,0.0291954588,
0.3242595259478337,0.6869916667,0.0218012223,-0.306875,0.0249926648,0.0014333333,0.0220828868,0.3832805556,0.0247855834,-0.2035777778,0.0317799455,0.0578666667,0.0557205727,0.4399111111,0.027274408,
0.4053244074347921,0.6876194444,0.0224365104,-0.3532138889,0.0227500256,0.0052083333,0.0237148497,0.3665833333,0.0225514672,-0.2148666667,0.0341784641,-0.0098666667,0.0504863458,0.3683333333,0.0301688663,
0.4863892889217505,0.6723277778,0.0200408064,-0.3137222222,0.023462572,-0.052975,0.0203320543,-0.1277916667,0.029863485,-0.2095777778,0.0308027496,-0.0511333333,0.0556581231,-0.1138888889,0.0314354129,
0.5674541704087089,0.6774027778,0.0230944576,-0.3423944444,0.0258476,0.0215333333,0.023855095,0.2686722222,0.0248253337,-0.2353555556,0.0290662844,0.0448,0.0621545028,0.3404666667,0.0321113725,
0.6485190518956674,0.6994972222,0.0223575634,-0.3168944444,0.0267603787,-0.0067166667,0.0225578947,0.2091138889,0.0304287697,-0.2095333333,0.0314038529,0.035,0.0603057027,0.2643555556,0.0335517584,
0.7295839333826257,0.6415138889,0.0204716145,-0.4016361111,0.0210273152,-0.0098166667,0.0226689889,-0.0351166667,0.0296938645,-0.2334222222,0.0317691053,0.0290666667,0.0597663599,-0.0492222222,0.0316186771,
0.8106488148695842,0.6370333333,0.0247718565,-0.3728472222,0.0240236629,-0.05905,0.0228780037,-0.0022194444,0.0285532991,-0.2536666667,0.0306285996,-0.0268,0.05939682,0.049,0.0299635581,
Initial state X
x,p,p_error,p_x,p_x_error,p_y,p_y_error,p_z,p_z_error,R_x,R_x_error,R_y,R_y_error,R_z,R_z_error,
0.0,0.8761833333,0.0156557103,0.86875,0.014159557,-0.0768,0.0229636549,0.0295472222,0.03076172,0.9273555556,0.0138089075,-0.0773333333,0.0601184017,0.0482444444,0.0336067233,
0.08106488148695842,0.7030083333,0.0232840105,0.6893166667,0.0206399327,-0.0863333333,0.0200374649,0.0144694444,0.0278022141,0.9329333333,0.0115315135,-0.0814,0.0505199191,0.0325777778,0.0321358536,
0.16212976297391685,0.5437916667,0.0246536307,0.5324722222,0.0250942513,-0.063475,0.0223665968,0.0210194444,0.0279390058,0.9395555556,0.0123047717,-0.1002,0.0560274139,0.0257777778,0.0323682515,
0.24319464446087524,0.5109361111,0.0245406772,0.5006583333,0.0240063538,-0.0616333333,0.0235619514,0.0130527778,0.0257016505,0.9468888889,0.0119608415,-0.0547333333,0.059801858,0.0440888889,0.0323967991,
0.3242595259478337,0.5549527778,0.0273427619,0.5462027778,0.0237537864,-0.0775833333,0.022949068,0.0219138889,0.0247092005,0.9320666667,0.0114190873,-0.0671333333,0.0576059796,0.0293777778,0.0318973353,
0.4053244074347921,0.4965444444,0.0232139579,0.4922361111,0.0296313349,-0.044075,0.0222947101,0.0126833333,0.0274434666,0.9292666667,0.0122607675,-0.0364,0.0604164805,0.0536888889,0.0364846932,
0.4863892889217505,0.5142611111,0.0238554747,0.5061111111,0.023252406,-0.0779416667,0.0211306961,-0.0044888889,0.0323994818,0.9164888889,0.0139635504,-0.0798,0.0559956744,0.0052444444,0.0351652466,
0.5674541704087089,0.4883861111,0.0267241191,0.4746888889,0.0220388364,-0.0652666667,0.0240860379,-0.0023472222,0.0284990626,0.9156666667,0.0146207193,-0.0600666667,0.0577465343,0.0064888889,0.0335837703,
0.6485190518956674,0.4713583333,0.024727181,0.466775,0.0246329504,-0.013925,0.0236658729,0.0130083333,0.0296593586,0.9295111111,0.0121759934,0.0063333333,0.0603278082,0.0081555556,0.0329969022,
0.7295839333826257,0.4553888889,0.0268198436,0.4466611111,0.0235868496,-0.0252416667,0.0239711328,0.0089611111,0.0279433294,0.8934444444,0.0143169588,-0.0108,0.0587407108,0.0220888889,0.0316209338,
0.8106488148695842,0.4996666667,0.0264356603,0.4862444444,0.0235323025,-0.0478916667,0.0226103636,0.0239472222,0.0270537387,0.9064444444,0.0130582739,-0.061,0.0521056619,0.0447111111,0.0368772137,
